date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:39	73906/73906	---M-Z	200	added ('OK')	text/html	etag:%22120b2-5e8f3a96-fa40d951ad692e2;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html	(from )
13:17:40	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Jan%202021%2007:47:40%20GMT	http://cvresumetemplate.com/robots.txt		(from )
13:17:40	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5c5038be-f60f340e2ec01b74;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:41	99/99	---M--	200	added ('OK')	image/png	etag:%2263-5c5038ee-1cd397732f88f0c7;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:42	86/86	---M--	200	added ('OK')	image/png	etag:%2256-5c5038ee-b1ba49552deaa63a;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:43	94/94	---M--	200	added ('OK')	image/png	etag:%225e-5c5038ee-806b43171c9bfe8e;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:45	177/177	---MC-	200	added ('OK')	text/css	date:Sun,%2003%20Jan%202021%2007:47:44%20GMT	http://fonts.googleapis.com/css?family=Roboto	/Users/ashan/websites/Resume/fonts.googleapis.com/css7b4f.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:45	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5bc4c7b8-df0862dde0ce7b8b;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:47	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5bb251ec-ea59fd6b33d8a228;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:48	43977/43977	---M-Z	200	added ('OK')	text/css	etag:%22abc9-5bb25670-1f0eecb87286a37b;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:48	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-5bb25670-fa93d8ecf3d01631;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:49	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-5e72dfe4-212ca44127b0c4b9;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/jquery.fancybox.min.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/jquery.fancybox.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:51	84001/84001	---M-Z	200	added ('OK')	text/css	etag:%2214821-5e8f3778-fb3514b5e48cd2be;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/styles.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/styles.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:51	15903/15903	---M-Z	200	added ('OK')	text/css	etag:%223e1f-5e8f36da-fca1b7a716e0eaef;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/responsive.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/responsive.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:52	3302/3302	---M-Z	200	added ('OK')	text/css	etag:%22ce6-5e1ce564-fdcaba1e5761aba9;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:53	0/0	---M--	200	added ('OK')	text/css	etag:%220-5c3a1a44-7354f78b32c17fac;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/defauld.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/defauld.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:54	3303/3303	---M-Z	200	added ('OK')	text/css	etag:%22ce7-5e1ce564-fb946d52d5d5e695;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/green.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/green.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:55	3311/3311	---M-Z	200	added ('OK')	text/css	etag:%22cef-5e1ce564-8128d9db4cc0ede2;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue-munsell.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue-munsell.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:17:56	3304/3304	---M-Z	200	added ('OK')	text/css	etag:%22ce8-5e1ce564-9fe014eb58b60883;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/orange.css	/Users/ashan/websites/Resume/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/orange.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
